x,y,z
849.8,577.5,-2067.0
844.2,572.4,-2055.9
847.0,572.3,-2055.7
847.0,577.6,-2067.3
849.7,572.3,-2055.4
849.7,569.5,-2055.7
845.4,565.6,-2050.4
838.4,559.4,-2033.5
841.2,559.3,-2033.2
842.7,565.7,-2050.6
843.9,559.2,-2033.0
843.8,551.1,-2033.8
843.8,553.8,-2033.5
843.8,556.6,-2033.2
838.3,553.9,-2034.0
838.4,556.7,-2033.8
841.1,553.8,-2033.8
841.1,551.1,-2034.0
838.3,551.2,-2034.3
841.1,556.6,-2033.5
848.2,565.6,-2050.1
844.1,569.6,-2056.2
846.9,569.5,-2055.9
846.7,549.9,-2069.9
846.7,552.6,-2069.7
846.8,555.4,-2069.4
844.0,558.2,-2069.4
843.9,550.0,-2070.2
843.9,552.6,-2069.9
844.0,555.4,-2069.7
844.0,561.0,-2069.1
852.6,577.4,-2066.8
870.5,601.9,-2227.2
864.7,602.0,-2227.7
863.0,597.7,-2221.3
866.0,597.6,-2221.0
867.6,601.9,-2227.5
850.1,582.7,-2091.7
847.0,571.6,-2079.9
847.0,574.4,-2079.7
857.6,579.9,-2148.8
862.7,592.2,-2194.6
865.6,592.1,-2194.3
862.6,586.3,-2195.1
862.6,589.3,-2194.8
864.3,590.3,-2214.8
864.3,587.4,-2215.0
864.4,593.3,-2214.5
851.4,575.0,-2110.5
854.7,580.0,-2149.1
861.4,593.4,-2214.8
861.3,587.5,-2215.3
861.3,590.4,-2215.0
854.2,575.0,-2110.2
853.9,555.3,-2112.1
854.1,572.2,-2110.5
850.0,568.3,-2105.2
849.8,559.8,-2106.0
849.8,557.1,-2106.3
849.9,562.6,-2105.8
851.1,555.3,-2112.4
849.9,565.4,-2105.5
851.4,572.2,-2110.8
859.3,580.8,-2181.8
854.6,577.1,-2149.3
857.5,577.0,-2149.1
857.5,574.3,-2149.3
853.2,567.4,-2144.3
853.2,570.3,-2144.1
856.0,567.3,-2144.1
856.0,561.7,-2144.6
856.0,564.5,-2144.3
853.1,561.7,-2144.9
853.1,564.5,-2144.6
856.1,570.2,-2143.8
854.6,574.3,-2149.6
857.7,570.7,-2175.9
857.7,573.6,-2175.6
857.7,576.5,-2175.3
847.1,577.2,-2079.4
451.8,278.8,-11.2
431.1,975.5,-4470.2
431.2,980.9,-4469.7
420.5,986.5,-4470.2
420.4,981.1,-4470.7
407.6,973.9,-4403.0
391.6,974.2,-4404.5
396.9,974.1,-4404.0
402.2,974.0,-4403.5
414.3,977.0,-4448.5
414.3,982.3,-4448.0
425.7,975.6,-4470.7
436.5,975.4,-4469.8
435.4,955.1,-4448.6
248.5,301.8,-173.6
247.2,302.0,-175.7
247.2,302.6,-175.7
247.8,302.0,-175.7
247.8,302.6,-175.6
249.1,301.8,-173.6
249.1,299.9,-173.7
249.1,300.6,-173.7
249.1,301.2,-173.6
248.5,301.2,-173.7
248.5,299.9,-173.8
248.5,300.6,-173.7
248.5,299.7,-174.8
249.1,299.7,-174.8
247.2,301.8,-176.8
247.8,301.8,-176.7
247.8,300.5,-176.8
247.8,301.2,-176.8
247.2,300.5,-176.9
247.2,301.2,-176.8
434.4,940.3,-4426.9
434.5,945.5,-4426.4
426.6,923.0,-4361.6
426.5,917.9,-4362.1
426.7,928.3,-4361.1
435.4,960.5,-4448.1
435.5,965.7,-4447.6
424.9,966.0,-4448.5
412.7,963.1,-4403.6
401.4,959.3,-4382.8
402.1,968.6,-4404.0
391.6,968.9,-4405.0
396.1,959.4,-4383.3
396.8,968.8,-4404.5
406.7,959.2,-4382.3
407.5,968.5,-4403.5
418.7,961.9,-4426.3
411.9,953.8,-4382.3
379.6,955.6,-4363.0
384.9,955.5,-4362.5
390.2,955.4,-4362.0
418.8,967.3,-4425.8
429.3,956.3,-4425.8
420.6,924.6,-4339.9
419.7,904.9,-4319.6
419.8,910.1,-4319.1
420.5,919.3,-4340.4
428.3,941.6,-4404.1
429.2,951.0,-4426.3
417.1,943.1,-4382.8
417.1,948.4,-4382.3
400.7,950.0,-4361.5
406.0,949.9,-4361.1
405.9,944.6,-4361.6
394.7,946.0,-4340.3
394.6,940.8,-4340.8
383.7,942.3,-4319.5
377.9,938.5,-4299.2
372.7,938.6,-4299.7
388.9,942.2,-4319.0
400.6,944.7,-4362.0
411.1,944.5,-4361.1
